country,injuries,new_cases,death,recover
أمريكا,"51,136,442",0,"821,335","40,239,513"
الهند,"34,710,630",0,"476,135","34,146,931"
البرازيل,"22,195,775",0,"617,121","21,414,318"
بريطانيا,"10,932,545",0,"146,627","9,574,546"
روسيا,"10,103,160","28,363","292,891","8,839,633"
تركيا,"9,080,452",0,"79,503","8,662,026"
فرنسا,"8,334,133",0,"120,832","7,362,450"
ألمانيا,"6,625,149","24,638","107,364","5,559,700"
ايران,"6,162,954","2,651","130,883","5,985,735"
الأرجنتين,"5,366,522",0,"116,826","5,220,418"
اسبانيا,"5,366,128",0,"88,542","4,958,672"
ايطاليا,"5,258,886",0,"135,049","4,826,443"
كولومبيا,"5,097,680",0,"129,205","4,938,291"
إندونسيا,"4,259,644",205,"143,969","4,110,811"
المكسيك,"3,921,682","2,695","296,983","3,277,620"
بولندا,"3,881,349","24,266","89,714","3,344,222"
أوكرانيا,"3,578,557","8,109","91,958","3,259,316"
جنوب أفريقيا,"3,204,642",0,"90,172","2,943,570"
هولندا,"2,920,438","13,469","20,255","2,294,090"
الفلبين,"2,836,915",237,"50,449","2,776,273"
ماليزيا,"2,699,240",0,"30,956","2,610,610"
التشيك,"2,367,076","16,691","34,813","2,091,837"
بيرو,"2,256,796",0,"201,902",0
تايلاند,"2,178,276","3,370","21,258","2,110,701"
العراق,"2,089,259",426,"24,017","2,057,506"
بلجيكا,"1,968,269","9,076","27,685","1,466,281"
كندا,"1,845,256",0,"29,969","1,777,480"
رومانيا,"1,795,418",829,"57,935","1,720,505"
تشيلي,"1,786,184","1,060","38,727","1,690,044"
اليابان,"1,729,035",129,"18,375","1,709,724"
بنغلاديش,"1,580,302",297,"28,038","1,544,933"
فيتنام,"1,459,175","15,527","28,616","1,063,428"
إسرائيل,"1,351,776",0,"8,224","1,337,231"
باكستان,"1,289,913",370,"28,843","1,251,778"
صربيا,"1,276,761",0,"12,241","1,234,299"
السويد,"1,242,733",0,"15,185","1,169,877"
النمسا,"1,239,287","4,224","13,333","1,167,813"
هنغاريا,"1,208,020","5,506","37,232","1,005,586"
البرتغال,"1,200,193",0,"18,687","1,115,749"
سويسرا,"1,149,097","5,188","11,888","904,359"
الأردن,"1,019,691",0,"12,048","941,895"
اليونان,"1,012,659",0,"19,475","932,006"
كازاخستان,"980,860",488,"12,887","950,318"
كوبا,"963,751",0,"8,313","955,069"
المغرب,"951,763",0,"14,798","935,592"
جورجيا,"898,079","3,278","12,879","844,875"
نيبال,"825,016",252,"11,565","807,816"
سلوفاكيا,"788,772","6,783","15,621","674,102"
الإمارات,"743,152",148,"2,151","738,141"
تونس,"719,903",0,"25,443","693,118"
بلغاريا,"718,651",0,"29,764","593,074"
لبنان,"692,315",0,"8,873","642,928"
بيلاروس,"678,277","1,765","5,322","669,068"
كرواتيا,"662,397","4,671","11,779","626,909"
أيرلندا,"632,177",0,"5,788","492,660"
غواتيمالا,"622,525",0,"16,051","605,696"
أذربيجان,"607,076","1,156","8,137","580,495"
الدنمارك,"579,275","8,773","3,039","489,491"
سيريلانكا,"576,194",0,"14,661","545,768"
كوستا ريكا,"568,305",0,"7,333","559,282"
بوليفيا,"556,765","1,766","19,355","506,542"
