Title,Company,Address,Time,Requirements
Video Editor,FormaFIT ,"New Cairo, Cairo, Egypt ",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · Creative/Design/Art · Media/Journalism/Publishing · Video Editing · Video Production · Motion Graphics · Final Cut Pro · Adobe Premiere · After Effects · Adobe After Effects · Editing
Customer Support Representative - Cairo,Etisalat Egypt ,"Maadi, Cairo, Egypt ",Full Time,Full TimeEntry Level · Customer Service/Support · Customer Care · Customer Service · Customer Support · Customer Relations · Customer Satisfaction · Call Center
Senior Flutter Developer,GNS ,"Maadi, Cairo, Egypt ",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · females_preferred · IT/Software Development · Flutter · Cross-platform
Software Product Owner,RDI ,"Dokki, Giza, Egypt ",Full Time,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Product Owner · Agile
Front End Developer,RDI ,"Dokki, Giza, Egypt ",Full Time,Full TimeExperienced · 2+ Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Angular · Agile · CSS3 · HTML5 · Git · JavaScript · Sass
Customer service representative for back office (Non Voice- Mail & chat English account),Etisalat Egypt ,"Maadi, Cairo, Egypt ",Full Time,Full TimeEntry Level · 0 - 15 Yrs of Exp · Customer Service/Support · B2 · Customer Care · Customer Service · Customer Support · English · Sales · Service
Marketing Executive (Fashion Field),Confidential ,"Sheikh Zayed, Giza, Egypt ",Full Time,Full TimeExperienced · 3+ Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Fashion · Marketing · Sales · Digital Marketing · Sales Skills · Digital · Fashion · Design
DevOps & Cloud Engineer,RDI ,"Giza, Giza, Egypt ",Full Time,Full TimeEntry Level · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · AWS · Cloud · DevOps · Ruby · Bash · Perl · Python
Software Test Lead,RDI ,"Dokki, Giza, Egypt ",Full Time,Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Software Testing · Python Scripting · Quality Control · Testing · Linux · Programming · Python
Digital strategist,Akhtaboot Group ,"New Cairo, Cairo, Egypt ",Full Time,Full TimeExperienced · 1 - 3 Yrs of Exp · Marketing/PR/Advertising · Strategy/Consulting · Digital Marketing · Marketing · Social Media
Retail Sales Representative - Cairo,IN YOUR SHOE ,"Heliopolis, Cairo, Egypt ",Full Time,Full TimeEntry Level · 1 - 2 Yrs of Exp · Sales/Retail · Startup · POS · Store Management · Management · Operations · Sales · Sales Skills · Sales Target · Retail Sales
Customer Support Representative Non Voice ((Mail & Chat English Account)),Etisalat Egypt ,"Maadi, Cairo, Egypt ",Full Time,Full TimeEntry Level · 0 - 13 Yrs of Exp · Customer Service/Support · B2 · Customer Care · Customer Service · Customer Support · English · Sales · Service
Telesales Agent - English Account (( Fixed Morning Shifts 8 to 5 )),Etisalat Egypt ,"Cairo, Egypt ",Full Time,Full TimeEntry Level · 0 - 10 Yrs of Exp · Customer Service/Support · Sales/Retail · Customer Service · sales skills · Sales · Telesales
Babies class teacher,Juniors Academy ,"New Cairo, Cairo, Egypt ",Full Time,Full TimeExperienced · 2 - 5 Yrs of Exp · Education/Teaching · Class Management · Education · Communication skills · Teaching
Social Media Moderator - Part time (Remotely),Dimensions  ,"Cairo, Egypt ",Part Time,Part TimeWork From HomeExperienced · 3 - 5 Yrs of Exp · Writing/Editorial · Marketing/PR/Advertising · Media/Journalism/Publishing · E-Marketing · Social Media · Moderator · Social media moderator · communications · Writing · Editing
Full Stack Technical Lead,RDI ,"Dokki, Giza, Egypt ",Full Time,Full TimeManager · 8+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Full Stack Development · JavaScript · Flask · Spring Boot · Django · Python
Sales Specialist,Tankoil Gorup ,"Zamalek, Cairo, Egypt ",Full Time,Full TimeEntry Level · 1 - 3 Yrs of Exp · Marketing/PR/Advertising · Sales/Retail · Sales Target · Customer Service · Marketing · Networking · Sales · sales skills · Science · Customer
"Senior Procurement Specialist ""IDM""",Ahram Security Group ,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · Logistics/Supply Chain · Purchasing/Procurement · Procurement · Purchasing · ERP · Engineering · Oracle · ROP · Supply Chain
Human Resources Recruiter,Trendlix ,"Nasr City, Cairo, Egypt ",Full Time,Full TimeExperienced · 2 - 4 Yrs of Exp · females_preferred · Human Resources · English · Human Resources (HR) · HR Certificate · Recruitment · HR · Personnel
Coating Manager,Neisco for Modern Water Systems Production ,"Nasr City, Cairo, Egypt ",Full Time,Full TimeManager · 5+ Yrs of Exp · males_only · Accounting/Finance · Operations/Management · Finance · Accounting · Financial Analysis · Financial Management · Financial · Cost · Cost Accounting · Data Analysis
Recruitment Specialist,Alarabia Group ,"10th of Ramadan City, Cairo, Egypt ",Full Time,Full TimeEntry Level · 1 - 3 Yrs of Exp · Human Resources · HR · HR Certificate · Human Resources (HR) · Microsoft Office · Recruitment · Diploma · HR Diploma · Communication skills
Senior Media Buyer,Jebal Egypt ,"New Cairo, Cairo, Egypt ",Full Time,Full TimeExperienced · 2 - 4 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Purchasing/Procurement · Marketing · Social Media · Digital Marketing · media · Purchasing · Digital Sales
Sales Specialist,Aly Arafa ,"New Cairo, Cairo, Egypt ",Full Time,Full TimeEntry Level · 0 - 5 Yrs of Exp · Customer Service/Support · Sales/Retail · Engineering - Other · Interior Design · Design · Customer Service · Sales · Sales Target · Communication
Front-End Developer,Argaam ,"Mohandessin, Giza, Egypt ",Full Time,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · UI · UX · Information Technology (IT) · UCD · Applied Arts · Computer Science · Agile · Scrum
Call Center Agent- IR (VOIS).,_VOIS Egypt ,"Smart Village, Giza, Egypt ",Full Time,Full TimeShift BasedWork From HomeExperienced · 2 - 4 Yrs of Exp · Customer Service/Support · Customer Support · Customer Care · Customer Service · Call Center · Communication · Communication skills · English · Call Centre · Skills
Customer Support Specialist (VOIS) Remote work,_VOIS Egypt ,"Smart Village, Giza, Egypt ",Full Time,Full TimeShift BasedWork From HomeEntry Level · 1 - 5 Yrs of Exp · Customer Service/Support · Call Center · Customer Service · Customer Care · Customer Support · c1 · Communication skills · English · Call Centre · Communication
Customer Service Consultant- Remote Work,_VOIS Egypt ,"Giza, Egypt ",Full Time,Full TimeShift BasedWork From HomeExperienced · 2+ Yrs of Exp · Customer Service/Support · Customer Service · Customer Care · Customer Support · Customer · Service · Consultant · Call Center · Communication skills · Communication
Vodafone IR Customer Support Specialist - Home Based- Non Cairo Residents.,_VOIS Egypt ,"Smart Village, Giza, Egypt ",Full Time,Full TimeShift BasedWork From HomeEntry Level · 1 - 5 Yrs of Exp · Customer Service/Support · Call Center · Customer Service · Customer Care · Customer Support · Communication skills · English · Communication · C1
Copywriter,Pioneers Now ,"Heliopolis, Cairo, Egypt ",Full Time,Full TimeExperienced · 3 - 6 Yrs of Exp · males_only · Writing/Editorial · Marketing/PR/Advertising · Media/Journalism/Publishing · Marketing · Writing · Social Media · SEO · Content · English · Copywriter
Application Support Section Head,Kanawat ,"Nasr City, Cairo, Egypt ",Full Time,Full TimeExperienced · 6+ Yrs of Exp · IT/Software Development · IT · Customer Service
Customer Service Agent - Complaints / Second line Account ( English Account ),Etisalat Egypt ,"Cairo, Egypt ",Full Time,Full TimeEntry Level · Customer Service/Support · Customer Service · Customer Care · Customer Support
Senior Digital Marketing Specialist,Bingo Global ,"New Nozha, Cairo, Egypt ",Full Time,Full TimeExperienced · 5 - 7 Yrs of Exp · Marketing/PR/Advertising · Digital Marketing · E-Marketing · Google Adwords · Digital · SEO · Online Marketing · Social Media · Content · Communication
Senior Content Creator,Crevalu ,"Sheikh Zayed, Giza, Egypt ",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · Writing/Editorial · Marketing/PR/Advertising · Media/Journalism/Publishing · Communication · Communication skills · Content Management · Editing · editing skills · Marketing · media
Senior Graphic Designer,Crevalu ,"Sheikh Zayed, Giza, Egypt ",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · Creative/Design/Art · Adobe Photoshop · Designer · Graphic · Graphic Design · graphic designer · Senior Graphic Designer · Design · senior · Adobe illustrator
media buyer,Pioneers Now ,"Nasr City, Cairo, Egypt ",Full Time,Full TimeEntry Level · 3 - 5 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Purchasing/Procurement · Buyer · Advertising · Digital Marketing · Digital · Marketing · Media Buyer · Planning
Front Office Administrator,Gateway School ,"New Cairo, Cairo, Egypt ",Full Time,Full TimeEntry Level · 1 - 3 Yrs of Exp · Administration · Administration · Front Office · Administrator · Admin
Front Office Administrator,Holw El Sham ,"6th of October, Giza, Egypt ",Full Time,Full TimeExperienced · 5 - 10 Yrs of Exp · Administration · Customer Service/Support · Administration · Communication skills · Communication · Admin
